StartTime,RTT
749.167,0.018
749.206,0.014
749.241,0.018
749.279,0.016
749.316,-1
750.336,0.018
750.375,-1
751.395,0.022
751.437,-1
752.457,0.014
752.492,0.015
752.528,0.016
752.564,0.018
752.603,0.018
752.641,0.018
752.68,0.016
752.717,0.014
752.751,0.014
752.786,0.014
752.82,0.016
752.857,0.015
752.893,0.018
752.931,0.018
752.97,0.016
753.007,0.017
753.045,0.016
753.081,0.017
753.118,0.017
753.156,0.016
753.192,0.014
753.226,0.016
753.263,0.014
753.297,0.017
753.335,0.016
753.371,0.017
753.408,0.018
753.446,0.015
753.482,0.016
753.519,0.014
753.553,0.014
753.587,0.017
753.625,0.017
753.663,0.016
753.699,0.018
753.739,0.014
753.773,0.016
753.809,0.017
753.846,0.016
753.883,0.016
753.92,0.014
753.955,0.017
753.992,0.017
754.03,0.014
754.064,0.017
754.102,0.014
754.137,0.018
754.176,0.015
754.211,0.014
754.246,0.015
754.281,0.018
754.32,0.015
754.356,0.016
754.392,0.017
754.43,0.018
754.468,0.015
754.504,0.018
754.543,0.014
754.577,0.016
754.614,0.018
754.652,0.016
754.689,0.016
754.725,0.017
754.763,0.018
754.802,0.017
754.839,0.014
754.874,0.018
754.913,0.017
754.95,0.018
754.989,0.016
755.026,0.018
755.065,0.015
755.101,0.014
755.135,0.017
755.172,0.049
755.242,0.015
755.277,0.014
755.312,0.015
755.348,0.014
755.383,0.017
755.42,0.017
755.458,0.018
755.496,0.018
755.534,0.018
755.573,0.016
755.61,0.018
755.649,0.017
755.686,0.018
755.725,0.016
755.762,0.018
755.801,0.018
755.84,0.014
755.874,0.018
755.913,0.018
755.951,0.014
755.985,0.015
756.021,0.015
756.056,0.016
756.093,0.015
756.129,0.054
756.203,0.016
756.24,0.018
756.278,0.015
756.314,0.016
756.35,0.016
756.387,0.014
756.421,0.016
756.457,0.014
756.492,0.015
756.527,0.015
756.563,0.018
756.601,0.018
756.64,0.019
756.68,0.016
756.716,0.017
756.754,0.027
756.801,0.018
756.84,0.015
756.876,0.03
756.926,0.016
756.962,-1
757.982,0.018
758.021,0.014
758.056,0.016
758.092,0.018
758.131,0.018
758.169,0.014
758.204,0.017
758.241,0.015
758.277,0.016
758.314,0.014
758.349,0.014
758.383,0.02
758.424,0.016
758.461,0.017
758.498,0.014
758.533,0.018
758.571,0.016
758.608,0.02
758.649,0.015
758.685,0.014
758.719,0.015
758.755,0.018
758.793,0.015
758.828,0.016
758.865,0.016
758.901,0.017
758.938,0.017
758.976,0.207
759.204,0.018
759.242,0.017
759.28,0.017
759.317,0.015
759.353,0.016
759.389,0.014
759.423,0.015
759.459,0.016
759.495,0.016
759.532,0.015
759.567,0.015
759.603,0.015
759.638,0.018
759.677,0.019
759.716,0.018
